id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.25,0.75,6.25,0.0,2.0
AS14.01,2014-02-27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.333333333333333,0.0,0.0
AS14.01,2014-03-21,0.13405010398938863,1144.007,3937.483,190.29,49.544,0.0,5.479,130.167,3621.838,278.91,0.0,327.581,0.0,6.0,0.2,0.2,6.2,5188.970999717713,0.0
AS14.01,2014-03-22,0.23688021923995814,476.737,2666.752,4.01,21.076,0.0,0.0,98.143,439.632,37.305,0.0,117.62100000000001,0.0,3.0,0.6,0.5,6.4,4978.592999696732,1.0
AS14.01,2014-03-23,0.14274111580506366,605.163,3504.602,94.346,43.403,0.0,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386,0.0,0.2,0.8,6.8,4199.878001213073,0.0
AS14.01,2014-03-24,0.07896105611559796,813.566,5837.535,70.289,34.106,0.0,3.01,66.558,2266.485,35.004999999999995,0.0,10.064,0.0,10.0,0.8,0.0,6.0,7636.4560008049,0.0
AS14.01,2014-03-25,0.09837411239050677,492.99,5563.879,68.206,43.054,0.0,0.0,31.68,1628.803,0.0,235.223,222.893,0.0,0.0,0.5,0.5,6.75,5118.874998569487,1.0
AS14.01,2014-03-26,0.10130832167007592,690.488,5321.091,31.131,52.331,0.0,0.0,97.49799999999999,2030.304,0.0,0.0,33.365,0.0,0.0,-0.2,0.6,6.6,6357.066999912261,0.0
AS14.01,2014-03-27,0.15951064096909748,898.481,4603.903,136.909,42.219,0.0,114.216,58.532,440.767,47.314,0.0,179.029,0.0,2.0,0.2,0.8,7.0,5701.146999835967,1.0
AS14.01,2014-03-28,0.09569802163712014,708.057,866.833,167.709,89.166,233.036,0.0,124.818,512.741,779.517,0.0,198.055,0.0,5.0,-0.6,0.6,6.4,2725.3119995594043,0.0
AS14.01,2014-03-29,0.06820281010186964,451.109,1620.935,112.13300000000001,0.0,0.0,0.0,86.091,472.888,52.434999999999995,0.0,448.892,0.0,4.0,0.2,1.0,8.0,2019.4720001220694,1.0
AS14.01,2014-03-30,0.049092970521542,282.98,599.813,135.023,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,0.0,-0.5,0.75,7.5,663.5940005779273,0.0
AS14.01,2014-03-31,0.07050548088338955,949.998,3683.063,393.242,41.254999999999995,51.176,0.0,148.719,1350.655,183.381,29.29,210.305,0.0,6.0,0.0,0.6,7.4,4984.578000068665,0.0
AS14.01,2014-04-01,0.118443242712736,1159.576,5496.115,278.69,347.911,234.741,3.159,72.999,3902.658,398.849,0.0,420.569,0.0,1.0,0.2,0.0,6.0,6148.191001415253,0.0
